Datetime,low,open,close,high,volume,num_trades,price_outlier,volume_outlier
2022-01-29 00:00:00+00:00,1.67675404,1.67675404,1.67675404,1.67675404,34.04,1,False,False
2022-01-29 00:01:00+00:00,1.67484917,1.67484917,1.67488943,1.67488943,1853.25,8,False,False
2022-01-29 00:03:00+00:00,1.68217499,1.68218714,1.68217499,1.68218714,876.76,3,False,False
2022-01-29 00:11:00+00:00,1.69394560,1.69401273,1.69394560,1.69401273,2535.31,11,False,False
2022-01-29 00:12:00+00:00,1.69393720,1.69394198,1.69393720,1.69394198,250.47,3,False,False
2022-01-29 00:13:00+00:00,1.69087181,1.69393676,1.69087181,1.69393676,104.23,9,False,False
2022-01-29 00:19:00+00:00,1.70056869,1.70056869,1.70056869,1.70056869,4915.38,1,False,False
2022-01-29 00:20:00+00:00,1.69964527,1.69994306,1.70833393,1.70888703,73298.35,52,False,False
2022-01-29 00:21:00+00:00,1.70166626,1.70832867,1.70166626,1.70832867,4286.01,7,False,False
2022-01-29 00:22:00+00:00,1.71034684,1.71034684,1.71034684,1.71034684,13614.73,1,False,False
2022-01-29 00:24:00+00:00,1.70625696,1.70625696,1.70625696,1.70625696,15625.97,1,False,False
2022-01-29 00:27:00+00:00,1.70416435,1.70416435,1.70416435,1.70416435,300.22,1,False,False
2022-01-29 00:28:00+00:00,1.70984755,1.70984755,1.70984755,1.70984755,13679.65,1,False,False
2022-01-29 00:31:00+00:00,1.70364159,1.70364159,1.70364159,1.70364159,15178.24,1,False,False
2022-01-29 00:41:00+00:00,1.69819984,1.69819984,1.69819984,1.69819984,974.51,1,False,False
2022-01-29 00:53:00+00:00,1.70037192,1.70037192,1.70037192,1.70037192,450.29,1,False,False
2022-01-29 00:54:00+00:00,1.69751380,1.69766469,1.69751380,1.69766469,10326.11,2,False,False
2022-01-29 00:55:00+00:00,1.69733762,1.69733762,1.69733762,1.69733762,1531.04,1,False,False
2022-01-29 00:56:00+00:00,1.69507994,1.69507994,1.69507994,1.69507994,119.64,1,False,False
2022-01-29 01:06:00+00:00,1.69208928,1.69208928,1.69208928,1.69208928,6.03,1,False,False
2022-01-29 01:13:00+00:00,1.70116779,1.70116779,1.70116779,1.70116779,584.69,1,False,False
2022-01-29 01:15:00+00:00,1.70102329,1.70102592,1.70102329,1.70102592,178.35,2,False,False
2022-01-29 01:16:00+00:00,1.69833178,1.70101971,1.69833178,1.70101971,242.75,2,False,False
2022-01-29 01:22:00+00:00,1.70098286,1.70098286,1.70098286,1.70098286,36.12,1,False,False
2022-01-29 01:23:00+00:00,1.69352035,1.69787602,1.69353648,1.69787602,1141.80,9,False,False
2022-01-29 01:25:00+00:00,1.68755638,1.69070986,1.68761856,1.69070986,3149.93,12,False,False
2022-01-29 01:26:00+00:00,1.68762000,1.68762000,1.68762511,1.68762511,318.60,3,False,False
2022-01-29 01:27:00+00:00,1.68133449,1.68133578,1.68135403,1.68135403,1625.42,4,False,False
2022-01-29 01:28:00+00:00,1.68137352,1.68137352,1.68142269,1.68142269,2370.89,26,False,False
2022-01-29 01:29:00+00:00,1.68142289,1.68142289,1.68142487,1.68142487,96.85,7,False,False
2022-01-29 01:31:00+00:00,1.68393993,1.68393993,1.68393993,1.68393993,7.31,1,False,False
2022-01-29 01:44:00+00:00,1.67727451,1.67727451,1.67731370,1.67731370,1817.49,7,False,False
2022-01-29 01:45:00+00:00,1.67731421,1.67731503,1.67731585,1.67731585,109.89,3,False,False
2022-01-29 01:58:00+00:00,1.68294461,1.68305342,1.68294461,1.68305342,4317.11,5,False,False
2022-01-29 01:59:00+00:00,1.68291864,1.68291864,1.68291864,1.68291864,1343.59,1,False,False
2022-01-29 02:04:00+00:00,1.68290895,1.68290895,1.68290895,1.68290895,225.31,1,False,False
