Datetime,low,open,close,high,volume,num_trades,price_outlier,volume_outlier
2022-01-29 00:00:00+00:00,1.67392700,1.67577100,1.67681500,1.67815400,4155.71,9,False,False
2022-01-29 00:01:00+00:00,1.67378300,1.67682900,1.67623800,1.67682900,2291.56,5,False,False
2022-01-29 00:02:00+00:00,1.67476100,1.67476100,1.68020900,1.68300100,6234.43,9,False,False
2022-01-29 00:03:00+00:00,1.68207800,1.68541700,1.68396500,1.68541700,3624.17,9,False,False
2022-01-29 00:04:00+00:00,1.68028300,1.68426800,1.68108200,1.68426800,2329.80,8,False,False
2022-01-29 00:05:00+00:00,1.68112300,1.68278500,1.68284100,1.68284100,82.54,3,False,False
2022-01-29 00:06:00+00:00,1.68110500,1.68115200,1.68520000,1.68688500,3126.47,11,False,False
2022-01-29 00:07:00+00:00,1.68521000,1.68521000,1.68742600,1.68819400,2424.88,9,False,False
2022-01-29 00:08:00+00:00,1.68747300,1.68747300,1.68780200,1.68780200,477.17,2,False,False
2022-01-29 00:09:00+00:00,1.68530100,1.68622000,1.68530100,1.68622000,1314.35,3,False,False
2022-01-29 00:10:00+00:00,1.68612900,1.68740200,1.68828400,1.68959100,4903.06,7,False,False
2022-01-29 00:11:00+00:00,1.68814300,1.68814300,1.69404300,1.69563600,7211.67,16,False,False
2022-01-29 00:12:00+00:00,1.69316400,1.69597500,1.69451800,1.69597500,2091.69,10,False,False
2022-01-29 00:13:00+00:00,1.69320700,1.69544300,1.69466200,1.69544300,3090.50,5,False,False
2022-01-29 00:14:00+00:00,1.69133400,1.69315300,1.69133400,1.69652900,3940.56,8,False,False
2022-01-29 00:15:00+00:00,1.68970600,1.69092700,1.68970600,1.69222600,1754.16,3,False,False
2022-01-29 00:16:00+00:00,1.68975600,1.69057300,1.69086300,1.69244300,2641.26,10,False,False
2022-01-29 00:17:00+00:00,1.69088500,1.69088500,1.69103000,1.69103000,207.63,2,False,False
2022-01-29 00:18:00+00:00,1.69117900,1.69117900,1.69129900,1.69129900,99.89,6,False,False
2022-01-29 00:19:00+00:00,1.69134200,1.69134200,1.69444600,1.69444600,2217.99,4,False,False
2022-01-29 00:20:00+00:00,1.69469500,1.69543400,1.70826900,1.71373000,17714.84,29,False,False
2022-01-29 00:21:00+00:00,1.70620400,1.70963400,1.70786700,1.71040000,3175.30,14,False,False
2022-01-29 00:22:00+00:00,1.70467100,1.70803500,1.70565200,1.71110800,7250.07,16,False,False
2022-01-29 00:23:00+00:00,1.70123900,1.70727800,1.70123900,1.70727800,4380.01,8,False,False
2022-01-29 00:24:00+00:00,1.70063100,1.70184600,1.70340600,1.70468300,4455.75,15,False,False
2022-01-29 00:25:00+00:00,1.70144100,1.70166500,1.70144100,1.70332900,1403.55,5,False,False
2022-01-29 00:26:00+00:00,1.70439700,1.70443500,1.70439700,1.70794800,3543.74,8,False,False
2022-01-29 00:27:00+00:00,1.70610200,1.70720100,1.70625500,1.70833100,2766.23,10,False,False
2022-01-29 00:28:00+00:00,1.70615100,1.70615100,1.70899500,1.70899500,1266.37,2,False,False
2022-01-29 00:29:00+00:00,1.70431500,1.70834300,1.70431500,1.70834300,2332.99,5,False,False
2022-01-29 00:30:00+00:00,1.70020700,1.70306400,1.70020700,1.70372900,3140.10,7,False,False
2022-01-29 00:31:00+00:00,1.70224300,1.70224300,1.70375600,1.70382600,1766.00,3,False,False
2022-01-29 00:32:00+00:00,1.69884000,1.70196500,1.70222700,1.70330600,7690.49,10,False,False
2022-01-29 00:33:00+00:00,1.69791300,1.70056100,1.69791300,1.70221200,3175.05,7,False,False
2022-01-29 00:34:00+00:00,1.69657900,1.69657900,1.69940400,1.69940400,909.98,10,False,False
2022-01-29 00:35:00+00:00,1.69601600,1.69765900,1.69601600,1.69765900,1817.99,5,False,False
2022-01-29 00:36:00+00:00,1.69682600,1.69682600,1.69759000,1.69759000,663.89,4,False,False
2022-01-29 00:37:00+00:00,1.69779300,1.69779300,1.69794800,1.69794800,171.05,5,False,False
2022-01-29 00:38:00+00:00,1.69736200,1.69803800,1.69936000,1.69975100,2816.80,6,False,False
2022-01-29 00:39:00+00:00,1.69782300,1.69946900,1.69999400,1.69999400,802.75,4,False,False
2022-01-29 00:40:00+00:00,1.69876800,1.69876800,1.69876800,1.69876800,14.95,1,False,False
2022-01-29 00:41:00+00:00,1.69727500,1.69875500,1.69882200,1.69914600,1336.19,10,False,False
2022-01-29 00:42:00+00:00,1.69625300,1.69709100,1.69710100,1.69884500,1424.46,6,False,False
2022-01-29 00:43:00+00:00,1.69716700,1.69716700,1.69721000,1.69721000,58.83,2,False,False
2022-01-29 00:44:00+00:00,1.69726500,1.69726500,1.69771300,1.69771300,439.35,4,False,False
2022-01-29 00:45:00+00:00,1.69617000,1.69617000,1.69870800,1.70063500,2110.79,7,False,False
2022-01-29 00:46:00+00:00,1.69490000,1.69868300,1.69678400,1.69947800,2887.68,9,False,False
2022-01-29 00:47:00+00:00,1.69706200,1.69706200,1.69752100,1.69752100,388.84,4,False,False
2022-01-29 00:48:00+00:00,1.69583800,1.69584000,1.69589400,1.69757600,159.11,6,False,False
2022-01-29 00:49:00+00:00,1.69494000,1.69587300,1.69494000,1.69756900,1320.12,3,False,False
2022-01-29 00:50:00+00:00,1.69583300,1.69583300,1.69625300,1.69625300,387.69,5,False,False
