Datetime,low,open,close,high,volume,num_trades,price_outlier,volume_outlier
2022-01-28 00:00:00+00:00,1.58694600,1.58751100,1.58694600,1.58751100,473.93,3,False,False
2022-01-28 00:01:00+00:00,1.58245400,1.58656200,1.58269000,1.58656200,3741.02,12,False,False
2022-01-28 00:02:00+00:00,1.58231400,1.58423100,1.58655400,1.58655400,1718.76,5,False,False
2022-01-28 00:03:00+00:00,1.58524000,1.58672400,1.58524000,1.58680400,71.52,3,False,False
2022-01-28 00:04:00+00:00,1.58685300,1.58685300,1.59127100,1.59127100,2209.50,10,False,False
2022-01-28 00:05:00+00:00,1.59286900,1.59286900,1.59559900,1.60055300,9600.43,17,False,False
2022-01-28 00:06:00+00:00,1.59555200,1.59555200,1.60134600,1.60243900,5273.59,14,False,False
2022-01-28 00:07:00+00:00,1.60034300,1.60079900,1.60300600,1.60428300,4717.08,17,False,False
2022-01-28 00:08:00+00:00,1.60170200,1.60170200,1.60412200,1.60578800,5552.05,10,False,False
2022-01-28 00:09:00+00:00,1.60292600,1.60329500,1.60299800,1.60503500,1289.10,6,False,False
2022-01-28 00:10:00+00:00,1.60277400,1.60277400,1.60379400,1.60665100,4297.08,6,False,False
2022-01-28 00:11:00+00:00,1.59952900,1.60176600,1.59952900,1.60176600,1431.27,3,False,False
2022-01-28 00:12:00+00:00,1.60058900,1.60185300,1.60424200,1.60424200,2480.69,4,False,False
2022-01-28 00:13:00+00:00,1.60302300,1.60302300,1.60560700,1.60830400,2595.36,8,False,False
2022-01-28 00:14:00+00:00,1.60447000,1.60492200,1.60939500,1.60939500,4013.39,12,False,False
2022-01-28 00:15:00+00:00,1.60349700,1.60747800,1.60349700,1.61038400,6368.20,14,False,False
2022-01-28 00:16:00+00:00,1.59966800,1.60529600,1.59966800,1.60529600,3139.29,8,False,False
2022-01-28 00:17:00+00:00,1.59708900,1.60042700,1.59708900,1.60217500,7417.11,14,False,False
2022-01-28 00:18:00+00:00,1.59811200,1.59811200,1.59886400,1.59886400,640.97,3,False,False
2022-01-28 00:19:00+00:00,1.59546100,1.59721300,1.59843600,1.59843600,1717.04,6,False,False
2022-01-28 00:20:00+00:00,1.59655200,1.59655200,1.59757900,1.59757900,501.01,2,False,False
2022-01-28 00:21:00+00:00,1.59194400,1.59589300,1.59438400,1.59684200,5362.81,15,False,False
2022-01-28 00:22:00+00:00,1.59225700,1.59282900,1.59345600,1.59658200,4665.66,11,False,False
2022-01-28 00:23:00+00:00,1.59070800,1.59164800,1.59070800,1.59518100,8248.94,10,False,False
2022-01-28 00:24:00+00:00,1.59237000,1.59237000,1.59529300,1.59681500,2113.34,6,False,False
2022-01-28 00:25:00+00:00,1.59238600,1.59519200,1.59935500,1.59935500,4032.93,13,False,False
2022-01-28 00:26:00+00:00,1.59668900,1.59755500,1.59779900,1.59779900,763.59,3,False,False
2022-01-28 00:27:00+00:00,1.59652600,1.59796700,1.59652600,1.59796700,143.00,2,False,False
2022-01-28 00:28:00+00:00,1.59650700,1.59650700,1.59832600,1.59832600,218.10,2,False,False
2022-01-28 00:29:00+00:00,1.59647500,1.59689100,1.59825700,1.59825700,602.59,5,False,False
2022-01-28 00:30:00+00:00,1.59015000,1.59644900,1.59214600,1.59644900,3250.70,11,False,False
2022-01-28 00:31:00+00:00,1.59090000,1.59095800,1.59090000,1.59264600,347.67,3,False,False
2022-01-28 00:32:00+00:00,1.58660700,1.59027600,1.58997500,1.59027600,3117.19,11,False,False
2022-01-28 00:33:00+00:00,1.58578500,1.58734400,1.58767600,1.58892500,3290.30,10,False,False
2022-01-28 00:34:00+00:00,1.58712700,1.58889500,1.58855500,1.58889500,192.41,3,False,False
2022-01-28 00:36:00+00:00,1.58793400,1.58880500,1.58980700,1.58980700,994.38,5,False,False
2022-01-28 00:37:00+00:00,1.58961200,1.59036800,1.59490200,1.59490200,2286.25,6,False,False
2022-01-28 00:38:00+00:00,1.59063500,1.59288000,1.59279200,1.59381200,1669.11,6,False,False
2022-01-28 00:39:00+00:00,1.59287600,1.59287600,1.59295300,1.59295300,67.49,2,False,False
2022-01-28 00:40:00+00:00,1.59297800,1.59297800,1.59395700,1.59395700,857.58,2,False,False
2022-01-28 00:41:00+00:00,1.59222900,1.59222900,1.59222900,1.59222900,968.15,1,False,False
2022-01-28 00:42:00+00:00,1.59104400,1.59277400,1.59104400,1.59277400,464.74,3,False,False
2022-01-28 00:43:00+00:00,1.59105600,1.59105600,1.59105600,1.59105600,310.66,1,False,False
2022-01-28 00:44:00+00:00,1.59002600,1.59043300,1.59002600,1.59174700,464.65,4,False,False
2022-01-28 00:45:00+00:00,1.58965500,1.58965500,1.58965500,1.58965500,171.44,1,False,False
2022-01-28 00:46:00+00:00,1.59149200,1.59214600,1.59149200,1.59214600,1038.82,4,False,False
2022-01-28 00:47:00+00:00,1.59355500,1.59431200,1.59656000,1.59781300,3539.04,6,False,False
2022-01-28 00:48:00+00:00,1.59363600,1.59769300,1.59680000,1.60223000,12778.11,20,False,False
2022-01-28 00:49:00+00:00,1.59710300,1.59823600,1.60280200,1.60280200,4187.21,11,False,False
2022-01-28 00:50:00+00:00,1.59951900,1.60036500,1.59951900,1.60384600,4713.70,19,False,False
2022-01-28 00:51:00+00:00,1.59903500,1.60153500,1.60164900,1.60262700,4573.84,10,False,False
2022-01-28 00:52:00+00:00,1.59695700,1.60009900,1.59861800,1.60009900,1414.72,6,False,False
2022-01-28 00:53:00+00:00,1.59863300,1.59863300,1.60282000,1.60709800,5574.94,10,False,False
2022-01-28 00:54:00+00:00,1.60235400,1.60519800,1.60786400,1.60917000,10704.67,17,False,False
2022-01-28 00:55:00+00:00,1.60501500,1.60710100,1.60657200,1.61163100,9239.51,19,False,False
2022-01-28 00:56:00+00:00,1.60848100,1.60880000,1.61203300,1.61387400,5491.18,14,False,False
2022-01-28 00:57:00+00:00,1.61021700,1.61394100,1.61021700,1.61394100,4119.09,10,False,False
2022-01-28 00:58:00+00:00,1.61234100,1.61234100,1.62127600,1.62499500,13839.03,20,False,False
2022-01-28 00:59:00+00:00,1.61703700,1.62082400,1.62571700,1.62571700,11455.07,22,False,False
2022-01-28 01:00:00+00:00,1.62461600,1.62461600,1.63172700,1.63172700,7266.93,7,False,False
2022-01-28 01:01:00+00:00,1.62416600,1.63195900,1.63098500,1.63249100,14457.29,19,False,False
2022-01-28 01:02:00+00:00,1.62712300,1.62929700,1.62955800,1.63335600,11349.26,22,False,False
2022-01-28 01:03:00+00:00,1.63023800,1.63127200,1.63659100,1.63867900,9043.58,16,False,False
2022-01-28 01:04:00+00:00,1.63412000,1.63461900,1.63513400,1.64955800,12147.00,24,False,False
2022-01-28 01:05:00+00:00,1.63690000,1.63798800,1.63976200,1.64267600,5732.66,18,False,False
2022-01-28 01:06:00+00:00,1.63711200,1.64131400,1.63802000,1.64131400,3291.22,9,False,False
