Datetime,low,open,close,high,volume,num_trades,price_outlier,volume_outlier
2022-01-28 00:04:00+00:00,64.86603604,64.86603604,64.96002422,64.96002422,158.77,3,False,False
2022-01-28 00:05:00+00:00,64.59051302,64.59051302,65.21992625,65.21992625,316.62,7,False,False
2022-01-28 00:06:00+00:00,64.99053943,65.33588336,64.99053943,65.33588336,109.51,3,False,False
2022-01-28 00:07:00+00:00,65.04163433,65.40660629,65.06960557,65.44787313,88.54,5,False,False
2022-01-28 00:10:00+00:00,65.46195865,65.46195865,65.46195865,65.46195865,1.68,1,False,False
2022-01-28 00:11:00+00:00,65.04805353,65.04805353,65.04805353,65.04805353,45.28,1,False,False
2022-01-28 00:12:00+00:00,65.42425763,65.42425763,65.45119422,65.45119422,38.20,3,False,False
2022-01-28 00:13:00+00:00,65.46076832,65.46076832,65.47068284,65.47068284,18.33,2,False,False
2022-01-28 00:14:00+00:00,65.04204819,65.08290111,65.11924086,65.46472813,254.36,4,False,False
2022-01-28 00:15:00+00:00,65.05138017,65.09357900,65.05138017,65.09357900,78.85,2,False,False
2022-01-28 00:17:00+00:00,64.86500060,64.99027968,64.86500060,64.99027968,161.13,4,False,False
2022-01-28 00:18:00+00:00,64.77228566,64.81978280,64.77228566,64.81978280,89.21,2,False,False
2022-01-28 00:20:00+00:00,64.72793827,64.72793827,64.72793827,64.72793827,28.35,1,False,False
2022-01-28 00:21:00+00:00,64.70333430,64.70333430,64.70333430,64.70333430,17.92,1,False,False
2022-01-28 00:22:00+00:00,64.65975278,64.65975278,65.01513248,65.01513248,64.22,2,False,False
2022-01-28 00:23:00+00:00,64.59726592,64.59726592,64.59726592,64.59726592,53.57,1,False,False
2022-01-28 00:24:00+00:00,64.95799814,64.95799814,64.95799814,64.95799814,0.01,1,False,False
2022-01-28 00:25:00+00:00,64.41958845,64.51425786,64.53411613,65.01326442,904.73,7,False,False
2022-01-28 00:26:00+00:00,64.44847455,64.44847455,64.83619429,64.83619429,1.95,2,False,False
2022-01-28 00:27:00+00:00,64.84201877,64.84201877,64.87046908,64.87046908,53.39,2,False,False
2022-01-28 00:28:00+00:00,64.89783045,64.89783045,64.89783045,64.89783045,8.47,1,False,False
2022-01-28 00:29:00+00:00,64.90303498,64.90303498,64.90303498,64.90303498,1.26,1,False,False
2022-01-28 00:30:00+00:00,64.50440579,64.90781808,64.85668940,64.92591797,94.84,5,False,False
2022-01-28 00:31:00+00:00,64.42910321,64.42910321,64.42910321,64.42910321,74.86,1,False,False
2022-01-28 00:32:00+00:00,64.34458500,64.34458500,64.68795668,64.68795668,87.02,2,False,False
2022-01-28 00:33:00+00:00,64.33805038,64.71270592,64.79595418,64.79595418,217.86,3,False,False
2022-01-28 00:34:00+00:00,64.43943854,64.43943854,64.43943854,64.43943854,93.21,1,False,False
2022-01-28 00:35:00+00:00,64.78598451,64.78598451,64.78598451,64.78598451,14.58,1,False,False
2022-01-28 00:38:00+00:00,64.79448065,64.79448065,64.79448065,64.79448065,1.36,1,False,False
2022-01-28 00:39:00+00:00,64.79592848,64.79592848,64.80335759,64.80335759,13.87,3,False,False
2022-01-28 00:40:00+00:00,64.81563225,64.81563225,64.81563225,64.81563225,10.63,1,False,False
2022-01-28 00:44:00+00:00,64.40555019,64.40555019,64.40555019,64.40555019,52.00,1,False,False
2022-01-28 00:45:00+00:00,64.31887093,64.34985067,64.31887093,64.34985067,58.72,2,False,False
2022-01-28 00:46:00+00:00,64.31555317,64.31555317,64.31555317,64.31555317,1.18,1,False,False
2022-01-28 00:49:00+00:00,64.31182746,64.31182746,64.31182746,64.31182746,5.90,1,False,False
2022-01-28 00:51:00+00:00,64.19193908,64.29682641,64.19193908,64.29682641,199.78,2,False,False
2022-01-28 00:55:00+00:00,64.48518065,64.48518065,64.48518065,64.48518065,0.04,1,False,False
2022-01-28 00:56:00+00:00,64.50926061,64.50926061,64.57167384,64.57167384,117.92,2,False,False
2022-01-28 00:58:00+00:00,64.62656314,64.62656314,64.87718886,64.87718886,298.03,6,False,False
2022-01-28 00:59:00+00:00,64.94209050,64.94209050,64.97481501,64.97481501,61.22,2,False,False
2022-01-28 01:04:00+00:00,64.64617438,65.01635037,65.07109240,65.07109240,125.13,4,False,False
2022-01-28 01:05:00+00:00,64.71979804,64.71979804,65.26363039,65.26363039,182.24,4,False,False
2022-01-28 01:06:00+00:00,64.90821536,64.90821536,65.29598958,65.29598958,14.97,2,False,False
2022-01-28 01:07:00+00:00,65.33050645,65.33050645,65.33050645,65.33050645,59.83,1,False,False
2022-01-28 01:08:00+00:00,64.97048429,64.97048429,64.97048429,64.97048429,1.40,1,False,False
