Datetime,low,open,close,high,volume,num_trades,price_outlier,volume_outlier
2022-01-14 00:00:00+00:00,473.23465205,475.02536825,475.81918846,475.81918846,3.49,16,False,False
2022-01-14 00:01:00+00:00,473.54206695,475.34495745,475.93842303,475.93842303,1.36,6,False,False
2022-01-14 00:02:00+00:00,473.27799307,473.31306310,475.18292313,475.18292313,9.19,6,False,False
2022-01-14 00:03:00+00:00,475.29382160,475.29382160,475.46483589,475.46483589,3.09,6,False,False
2022-01-14 00:04:00+00:00,472.64323003,473.34153014,472.64323003,475.03244078,6.01,4,False,False
2022-01-14 00:05:00+00:00,475.28839204,475.28839204,475.28839204,475.28839204,6.31,1,False,False
2022-01-14 00:06:00+00:00,472.92589294,475.58131534,472.92589294,475.58131534,9.39,5,False,False
2022-01-14 00:07:00+00:00,472.89689190,472.89689190,474.78535416,474.78535416,0.65,2,False,False
2022-01-14 00:08:00+00:00,474.79682091,474.79682091,475.27833625,475.27833625,0.07,3,False,False
2022-01-14 00:09:00+00:00,473.52364679,474.81385657,473.52364679,475.90636409,7.03,6,False,False
2022-01-14 00:10:00+00:00,473.48354454,473.50696496,473.49503861,473.50696496,0.42,3,False,False
2022-01-14 00:11:00+00:00,473.47128533,475.85521523,475.93578824,475.93578824,6.52,6,False,False
2022-01-14 00:12:00+00:00,474.02361704,474.02361704,474.02361704,474.02361704,0.23,1,False,False
2022-01-14 00:13:00+00:00,474.00001554,474.01255132,474.00001554,475.92031686,0.70,3,False,False
2022-01-14 00:14:00+00:00,474.27765735,476.03149061,474.27765735,476.03149061,3.47,3,False,False
2022-01-14 00:15:00+00:00,474.26824242,474.26824242,476.73587332,476.73587332,6.43,5,False,False
2022-01-14 00:16:00+00:00,476.95085053,476.95085053,476.95085053,476.95085053,4.37,1,False,False
2022-01-14 00:17:00+00:00,475.11069758,475.11069758,475.64759288,477.52087181,11.48,9,False,False
2022-01-14 00:18:00+00:00,475.60029101,475.62082871,475.60338135,477.50987910,0.46,5,False,False
2022-01-14 00:19:00+00:00,475.37915432,475.60276062,475.37915432,477.73973512,2.77,6,False,False
2022-01-14 00:20:00+00:00,476.05903251,477.76690267,476.05903251,477.87995967,2.73,5,False,False
2022-01-14 00:21:00+00:00,475.57695496,475.57695496,475.57695496,475.57695496,0.01,1,False,False
2022-01-14 00:22:00+00:00,475.94669972,476.03418925,475.94669972,476.03418925,1.69,3,False,False
2022-01-14 00:23:00+00:00,475.19438973,475.55927156,477.10322568,477.10322568,7.70,4,False,False
2022-01-14 00:24:00+00:00,474.90345450,477.10641868,476.52653295,477.60794815,7.87,7,False,False
2022-01-14 00:25:00+00:00,474.63953158,477.02591159,477.23738151,477.23738151,7.67,10,False,False
2022-01-14 00:26:00+00:00,475.33526798,477.71837587,477.24961203,477.72109597,0.30,4,False,False
2022-01-14 00:27:00+00:00,475.58952632,477.37845133,475.61693682,477.51621348,3.20,5,False,False
2022-01-14 00:28:00+00:00,475.60985313,477.51885980,475.60985313,477.51885980,0.02,2,False,False
2022-01-14 00:29:00+00:00,475.59132581,475.60344750,477.50805094,477.50805094,0.38,4,False,False
2022-01-14 00:30:00+00:00,475.52469900,475.58339810,475.52469900,475.58339810,0.95,4,False,False
2022-01-14 00:31:00+00:00,475.43638982,475.47166739,477.39862927,477.81984699,3.11,5,False,False
2022-01-14 00:32:00+00:00,475.55252646,475.56259604,475.55252646,477.47384842,0.42,5,False,False
2022-01-14 00:33:00+00:00,475.52238613,475.55176595,475.89416101,477.69078706,7.29,4,False,False
2022-01-14 00:34:00+00:00,477.96698524,477.96698524,477.96698524,477.96698524,5.50,1,False,False
2022-01-14 00:35:00+00:00,476.75694083,478.47269368,478.94170192,478.94170192,12.07,4,False,False
2022-01-14 00:36:00+00:00,477.30447229,477.30447229,479.46909288,479.46909288,5.51,2,False,False
2022-01-14 00:37:00+00:00,477.31409207,477.80594553,477.31409207,477.80594553,0.24,4,False,False
2022-01-14 00:39:00+00:00,477.78582360,479.70200793,477.78582360,479.70200793,0.05,2,False,False
2022-01-14 00:40:00+00:00,477.77551106,479.70292980,477.77551106,479.70292980,0.27,2,False,False
2022-01-14 00:41:00+00:00,477.84788469,479.70527085,477.84788469,479.75629083,1.47,3,False,False
2022-01-14 00:42:00+00:00,477.86382778,479.75215615,479.98684261,479.98684261,6.37,4,False,False
2022-01-14 00:43:00+00:00,478.28981726,478.29753452,478.47068919,480.31456355,3.12,5,False,False
2022-01-14 00:44:00+00:00,478.41746300,478.43431803,478.41746300,478.43431803,0.36,2,False,False
2022-01-14 00:45:00+00:00,477.92430199,477.92430199,477.92430199,477.92430199,0.04,1,False,False
